time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-25 00:00:00+00:00,6,5,,
2025-11-26 00:00:00+00:00,3,3,,
2025-11-27 00:00:00+00:00,7,6,,
2025-11-28 00:00:00+00:00,4,3,,
2025-11-29 00:00:00+00:00,6,5,,
2025-11-30 00:00:00+00:00,4,3,,
2025-12-01 00:00:00+00:00,40,11,,
2025-12-02 00:00:00+00:00,10,5,,
2025-12-03 00:00:00+00:00,74,17,,
2025-12-04 00:00:00+00:00,15,7,,
2025-12-05 00:00:00+00:00,10,6,,
2025-12-06 00:00:00+00:00,11,6,,
2025-12-07 00:00:00+00:00,5,4,,
2025-12-08 00:00:00+00:00,2,1,,
