time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-31 00:00:00+00:00,10,5,0,0
2026-06-01 00:00:00+00:00,8,2,0,0
2026-06-02 00:00:00+00:00,28,10,0,0
2026-06-03 00:00:00+00:00,3,3,0,0
2026-06-04 00:00:00+00:00,2,2,0,0
2026-06-05 00:00:00+00:00,20,6,0,0
2026-06-06 00:00:00+00:00,30,9,0,0
2026-06-07 00:00:00+00:00,23,6,0,0
2026-06-08 00:00:00+00:00,7,2,0,0
2026-06-09 00:00:00+00:00,27,8,0,0
2026-06-10 00:00:00+00:00,19,7,0,0
2026-06-11 00:00:00+00:00,20,6,0,0
2026-06-12 00:00:00+00:00,23,8,0,0
2026-06-13 00:00:00+00:00,39,11,0,0
